Source,Target,Weight,Type
video,android,2,Undirected
video,mediacodec,1,Undirected
video,mediamuxer,1,Undirected
video,recording,1,Undirected
video,h264,1,Undirected
video,refactoring,1,Undirected
video,online,1,Undirected
video,encoding,1,Undirected
video,parallel,1,Undirected
video,movie,1,Undirected
video,sitcom,1,Undirected
video,social,1,Undirected
video,recommendation,1,Undirected
video,recoment,1,Undirected
video,discovery,1,Undirected
video,football,1,Undirected
video,for:nemocean,6,Undirected
android,mediacodec,1,Undirected
android,mediamuxer,1,Undirected
android,recording,1,Undirected
android,reference,1,Undirected
android,api,1,Undirected
android,sdk,2,Undirected
android,documentation,1,Undirected
android,search,1,Undirected
android,adb,1,Undirected
android,backup,1,Undirected
android,files,1,Undirected
android,download,1,Undirected
android,test,3,Undirected
android,testing,3,Undirected
android,tdd,1,Undirected
android,unit testing,1,Undirected
android,java,5,Undirected
android,graphics,1,Undirected
android,design,1,Undirected
android,media,2,Undirected
android,h264,1,Undirected
android,ci,1,Undirected
android,ios,1,Undirected
android,apple,1,Undirected
android,tiling,1,Undirected
android,map,1,Undirected
android,slicing,1,Undirected
android,osm,1,Undirected
android,openstreetmap,1,Undirected
android,report,1,Undirected
android,reporting,1,Undirected
android,crash,1,Undirected
mediacodec,mediamuxer,1,Undirected
mediacodec,recording,1,Undirected
mediamuxer,recording,1,Undirected
ruby,generator,1,Undirected
ruby,static,1,Undirected
ruby,site,1,Undirected
ruby,website,1,Undirected
ruby,frontend,1,Undirected
ruby,gem,3,Undirected
ruby,api,5,Undirected
ruby,wrapper,1,Undirected
ruby,postgres,1,Undirected
ruby,hstore,1,Undirected
ruby,arrays,1,Undirected
ruby,autoloading,1,Undirected
ruby,activesupport,1,Undirected
ruby,dependency,1,Undirected
ruby,speed,3,Undirected
ruby,optimization,3,Undirected
ruby,rubyonrails,9,Undirected
ruby,concerns,1,Undirected
ruby,concern,1,Undirected
ruby,modules,1,Undirected
ruby,programming,3,Undirected
ruby,bestpractices,1,Undirected
ruby,assets,1,Undirected
ruby,javascript,1,Undirected
ruby,bundler,1,Undirected
ruby,library,2,Undirected
ruby,bower,1,Undirected
ruby,packaging,1,Undirected
ruby,vendoring,1,Undirected
ruby,vendor,1,Undirected
ruby,architecture,2,Undirected
ruby,ssl,2,Undirected
ruby,rvm,1,Undirected
ruby,deployment,1,Undirected
ruby,deploy,1,Undirected
ruby,capistrano,1,Undirected
ruby,testing,3,Undirected
ruby,null object,2,Undirected
ruby,null,2,Undirected
ruby,rspec,5,Undirected
ruby,documentation,3,Undirected
ruby,callback,1,Undirected
ruby,activemodel,1,Undirected
ruby,activerecord,2,Undirected
ruby,ruby2,2,Undirected
ruby,middleware,1,Undirected
ruby,rack,1,Undirected
ruby,scala,1,Undirected
ruby,socket,1,Undirected
ruby,server,1,Undirected
ruby,unix,1,Undirected
ruby,unicorn,2,Undirected
ruby,code,3,Undirected
ruby,video,1,Undirected
ruby,refactoring,2,Undirected
ruby,event-driven,1,Undirected
ruby,eventmachine,1,Undirected
ruby,profiling,3,Undirected
ruby,dtrace,2,Undirected
ruby,thread,1,Undirected
ruby,asynchronous,1,Undirected
ruby,threading,2,Undirected
ruby,parallelization,2,Undirected
ruby,css,3,Undirected
ruby,redundancy,1,Undirected
ruby,foreign_key,1,Undirected
